"text,created_at"
"Congratulations to our National Guard for the great job they did immediately upon arriving in Minneapolis Minnesota last night. The ANTIFA led anarchists among others were shut down quickly. Should have been done by Mayor on first night and there would have been no trouble!,05-31-2020 16:03:17"
"Other Democrat run Cities and States should look at the total shutdown of Radical Left Anarchists in Minneapolis last night. The National Guard did a great job and should be used in other States before it is too late!,05-31-2020 16:12:26"
"The United States of America will be designating ANTIFA as a Terrorist Organization.,05-31-2020 16:23:43"
"The Lamestream Media is doing everything within their power to foment hatred and anarchy. As long as everybody understands what they are doing that they are FAKE NEWS and truly bad people with a sick agenda we can easily work through them to GREATNESS!,05-31-2020 16:36:07"
"RT @TomFitton: Antifa has been engaging in terrorism and seditious conspiracy for years. But FBI and DOJ were too busy to care much their…,05-31-2020 19:16:54"
"Law &amp; Order in Philadelphia NOW! They are looting stores. Call in our great National Guard like they FINALLY did (thank you President Trump) last night in Minneapolis. Is this what voters want with Sleepy Joe? All Dems!,05-31-2020 20:04:07"
"Get tough Democrat Mayors and Governors. These people are ANARCHISTS. Call in our National Guard NOW. The World is watching and laughing at you and Sleepy Joe. Is this what America wants? NO!!!,05-31-2020 20:15:13"
"STRENGTH! https://t.co/xHE5AdK9Ka,05-31-2020 20:20:39"
"SO TERRIBLE! Where are the arrests and LONG TERM jail sentences? https://t.co/MiT9DtAuVL,05-31-2020 20:54:41"
"RT @BuckSexton: This isn’t going to stop until the good guys are willing to use overwhelming force against the bad guys,05-31-2020 21:39:28"
"RT @dbongino: The radical-left formally divorced itself from America last night. They are domestic terrorists and enemies of the United Sta…,05-31-2020 21:59:59"
"RT @realDonaldTrump: Crossing State lines to incite violence is a FEDERAL CRIME! Liberal Governors and Mayors must get MUCH tougher or the…,05-31-2020 22:00:18"
"Our National Guard stopped them cold last night. Should have been called up sooner! https://t.co/D5vLrHSYcJ,05-31-2020 22:08:51"
"RT @realDonaldTrump: Much more “disinformation” coming out of CNN MSDNC @nytimes and @washingtonpost by far than coming out of any fore…,05-31-2020 22:09:57"
"LAW &amp; ORDER!,05-31-2020 22:52:09"
"RT @realDonaldTrump: The United States of America will be designating ANTIFA as a Terrorist Organization.,05-31-2020 22:52:42"
"FAKE NEWS!,06-01-2020 00:09:21"
"RT @realDonaldTrump: The Lamestream Media is doing everything within their power to foment hatred and anarchy. As long as everybody underst…,06-01-2020 00:10:27"
"“I don’t see any indication that there were any white supremest groups mixing in. This is an ANTIFA Organization. It seems that the first time we saw it in a major way was Occupy Wall Street. It’s the same mindset.” @kilmeade  @foxandfriends  TRUE!,06-01-2020 12:20:31"
